crop,model,scenario,lag_config,mae,rmse,mape,n,validation_mae,validation_rmse,validation_mape,params_json
Пшениця,elasticnet,lag_only,L1,0.5392379021371627,0.5392379021371627,11.217443367241735,3,0.36942067788665794,0.36942067788665794,7.717288605391911,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
Пшениця,xgboost,lag_only,L1,0.7516500854492186,0.7516500854492186,15.336762628897018,3,0.32456823984781913,0.32456823984781913,6.771379419241883,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
Пшениця,lightgbm,lag_only,L1,0.9058035413923138,0.9058035413923138,19.257707920812834,3,0.4108627394548021,0.4108627394548021,8.614828946886034,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
Пшениця,elasticnet,lag_only,L1_L2,0.5697648243692286,0.5697648243692286,11.893373348209883,3,0.29552831147651154,0.29552831147651154,6.2123685823468575,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
Пшениця,xgboost,lag_only,L1_L2,0.7982342942555745,0.7982342942555745,16.161708767612264,3,0.29766729990641255,0.29766729990641255,6.219289992248868,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
Пшениця,lightgbm,lag_only,L1_L2,0.6875000205307965,0.6875000205307965,13.72725313132761,3,0.44352358784714774,0.44352358784714774,9.384088594548134,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Пшениця,elasticnet,lag_only,L1_L2_L3,0.23453596282513237,0.23453596282513237,4.890063375368132,3,0.33299568984157,0.33299568984157,6.9534281122400055,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
Пшениця,xgboost,lag_only,L1_L2_L3,0.811422259012858,0.811422259012858,16.612886659109687,3,0.35386749903361014,0.35386749903361014,7.404378772275543,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}"
Пшениця,lightgbm,lag_only,L1_L2_L3,0.5911832945143702,0.5911832945143702,11.85161293339136,3,0.38376431266131866,0.38376431266131866,8.105999413148274,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Кукурудза,elasticnet,lag_only,L1,1.2093839442059788,1.2093839442059788,18.082065948913932,3,0.5146108023790331,0.5146108023790331,8.946405838849506,"{""alpha"": 1.0, ""l1_ratio"": 0.2}"
Кукурудза,xgboost,lag_only,L1,1.0615028762817387,1.0615028762817387,15.802103190225345,3,0.6287542851765947,0.6287542851765947,10.127706018048888,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
Кукурудза,lightgbm,lag_only,L1,0.6919988398727179,0.6919988398727179,10.712269494784644,3,0.4292065832421497,0.4292065832421497,6.6396941748911615,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Кукурудза,elasticnet,lag_only,L1_L2,1.0186529633096422,1.0186529633096422,14.738885532846268,3,0.5903170827026925,0.5903170827026925,10.11685949856333,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
Кукурудза,xgboost,lag_only,L1_L2,0.8802537345886234,0.8802537345886234,12.865412915874606,3,0.9136211077372233,0.9136211077372233,14.972618633635667,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
Кукурудза,lightgbm,lag_only,L1_L2,0.2853980059463712,0.2853980059463712,4.0199032016565495,3,0.4567110249989046,0.4567110249989046,7.4007225067178615,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Кукурудза,elasticnet,lag_only,L1_L2_L3,1.024054408324034,1.024054408324034,14.8134911269677,3,0.5903170827026925,0.5903170827026925,10.11685949856333,"{""alpha"": 1.0, ""l1_ratio"": 0.5}"
Кукурудза,xgboost,lag_only,L1_L2_L3,0.9260610961914066,0.9260610961914066,13.47371446706085,3,0.7824783325195312,0.7824783325195312,12.91337915872702,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
Кукурудза,lightgbm,lag_only,L1_L2_L3,0.3586075560849335,0.3586075560849335,5.305618660275727,3,0.5379471085995737,0.5379471085995737,8.721643064884814,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Соняшник,elasticnet,lag_only,L1,0.5018303995787754,0.5018303995787754,18.85661181298766,3,0.18367720407422583,0.18367720407422583,7.039545482254417,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
Соняшник,xgboost,lag_only,L1,0.08921433448791512,0.08921433448791512,3.3739960158235967,3,0.3416401290893556,0.3416401290893556,12.296443995909131,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
Соняшник,lightgbm,lag_only,L1,0.04133337195435294,0.04133337195435294,1.6143304385994763,3,0.40190635565428706,0.40190635565428706,14.817165351772465,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Соняшник,elasticnet,lag_only,L1_L2,0.08379653102041207,0.08379653102041207,3.0768972531318854,3,0.12330009329322882,0.12330009329322882,4.565021388194134,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
Соняшник,xgboost,lag_only,L1_L2,0.0941126187642416,0.0941126187642416,3.539839951389054,3,0.324120814005534,0.324120814005534,11.569860166261691,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
Соняшник,lightgbm,lag_only,L1_L2,0.15529353659816522,0.15529353659816522,6.189080808210169,3,0.3396547849135129,0.3396547849135129,12.800690734244135,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
Соняшник,elasticnet,lag_only,L1_L2_L3,0.20349627541499368,0.20349627541499368,7.846569464834701,3,0.07199446215928014,0.07199446215928014,2.795943449066924,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
Соняшник,xgboost,lag_only,L1_L2_L3,0.17177405357360845,0.17177405357360845,6.41309934743349,3,0.26167787551879895,0.26167787551879895,9.340799415077393,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
Соняшник,lightgbm,lag_only,L1_L2_L3,0.4271966183147396,0.4271966183147396,16.119273968355984,3,0.3176856376016109,0.3176856376016109,11.873544154978639,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
